,text,intent,length
19724,when,Non_hope_speech,1.0
22666,some,Non_hope_speech,1.0
84,house,Non_hope_speech,1.0
12912,oh,Non_hope_speech,1.0
8440,simpleton,Non_hope_speech,1.0
6695,agree,Non_hope_speech,1.0
8898,exactly,Non_hope_speech,1.0
15177,agree,Non_hope_speech,1.0
1495,right,Non_hope_speech,1.0
7258,episode,Non_hope_speech,1.0
16293,what,Non_hope_speech,1.0
13885,shooketh,Non_hope_speech,1.0
10383,weathers,Non_hope_speech,1.0
1038,boy,Non_hope_speech,1.0
369,the,Non_hope_speech,1.0
18409,nice,Non_hope_speech,1.0
670,qwerty,Non_hope_speech,1.0
8519,exactly,Non_hope_speech,1.0
8258,lol,Non_hope_speech,1.0
14981,michaelson,Non_hope_speech,1.0
16110,house,Non_hope_speech,1.0
6185,qwerty,Non_hope_speech,1.0
17092,yess,Non_hope_speech,1.0
4750,yeah,Non_hope_speech,1.0
10229,parsons,Non_hope_speech,1.0
19739,barne,Non_hope_speech,1.0
9805,brown,Non_hope_speech,1.0
2291,truth,Non_hope_speech,1.0
15852,whitlock,Non_hope_speech,1.0
4827,exactly,Non_hope_speech,1.0
20002,beating,Non_hope_speech,1.0
3896,nice interview,Non_hope_speech,2.0
7233,halim comment,Non_hope_speech,2.0
1993,unbreakeblecow yeah,Non_hope_speech,2.0
12313,matthew agree,Non_hope_speech,2.0
5666,wagnon nrespect,Non_hope_speech,2.0
17468,jarrell how,Non_hope_speech,2.0
2001,divide conquer,Non_hope_speech,2.0
14595,mc exactly,Non_hope_speech,2.0
5531,hub yeah,Non_hope_speech,2.0
364,wait really,Non_hope_speech,2.0
8353,smith base,Non_hope_speech,2.0
19944,be me,Non_hope_speech,2.0
20897,stone true,Non_hope_speech,2.0
8385,as christian,Non_hope_speech,2.0
10692,how exactly,Non_hope_speech,2.0
3877,williamson lol,Non_hope_speech,2.0
21710,you pathetic,Non_hope_speech,2.0
1336,forall hahaa,Non_hope_speech,2.0
8395,dyou think,Non_hope_speech,2.0
17247,as catholic,Non_hope_speech,2.0
8405,beautiful woman,Non_hope_speech,2.0
1975,the sweetest,Non_hope_speech,2.0
749,thank you,Non_hope_speech,2.0
5595,just england,Non_hope_speech,2.0
3670,levy precisely,Non_hope_speech,2.0
5602,knutson yes,Non_hope_speech,2.0
10602,such woman,Non_hope_speech,2.0
10601,also true,Non_hope_speech,2.0
1989,burger read,Non_hope_speech,2.0
353,reality macky,Non_hope_speech,2.0
1955,name no,Non_hope_speech,2.0
22252,crosland lol,Non_hope_speech,2.0
20838,more twinz,Non_hope_speech,2.0
7171,james johnson,Non_hope_speech,2.0
3621,how come,Non_hope_speech,2.0
3445,banana wtf,Non_hope_speech,2.0
14261,apparently not,Non_hope_speech,2.0
14250,year later,Non_hope_speech,2.0
5920,tear up,Non_hope_speech,2.0
3404,collins why,Non_hope_speech,2.0
1203,shut up,Non_hope_speech,2.0
10258,sure yeah,Non_hope_speech,2.0
7059,amazing athiest,Non_hope_speech,2.0
5982,what wacko,Non_hope_speech,2.0
5889,kiddo lol,Non_hope_speech,2.0
3353,in the,Non_hope_speech,2.0
14120,justice prince,Non_hope_speech,2.0
10204,great example,Non_hope_speech,2.0
3301,nice interview,Non_hope_speech,2.0
18013,not really,Non_hope_speech,2.0
12674,beaver exactly,Non_hope_speech,2.0
18030,some seriously,Non_hope_speech,2.0
14070,sliver wow,Non_hope_speech,2.0
18039,haskins no,Non_hope_speech,2.0
2156,she neither,Non_hope_speech,2.0
14123,nevermind know,Non_hope_speech,2.0
17771,hahahahahahah cackles,Non_hope_speech,2.0
22354,observation here,Non_hope_speech,2.0
3475,know what,Non_hope_speech,2.0
14522,right now,Non_hope_speech,2.0
12398,you right,Non_hope_speech,2.0
21644,rent thug,Non_hope_speech,2.0
794,steven what,Non_hope_speech,2.0
17624,griffin true,Non_hope_speech,2.0
10401,empire agree,Non_hope_speech,2.0
21632,nostar proof,Non_hope_speech,2.0
5825,trick question,Non_hope_speech,2.0
22329,some seriously,Non_hope_speech,2.0
14351,latimer yo,Non_hope_speech,2.0
5835,finally yes,Non_hope_speech,2.0
14350,that girl,Non_hope_speech,2.0
10362,be crazy,Non_hope_speech,2.0
17661,connor richie,Non_hope_speech,2.0
14345,rebekah what,Non_hope_speech,2.0
271,some screaming,Non_hope_speech,2.0
12491,start at,Non_hope_speech,2.0
8604,shea girl,Non_hope_speech,2.0
12506,hell yeah,Non_hope_speech,2.0
5882,selena please,Non_hope_speech,2.0
17731,definitely be,Non_hope_speech,2.0
14586,thorpe yes,Non_hope_speech,2.0
5505,official yep,Non_hope_speech,2.0
16324,oof true,Non_hope_speech,2.0
10750,fran aggreed,Non_hope_speech,2.0
15586,casey no,Non_hope_speech,2.0
15563,oh ofcourse,Non_hope_speech,2.0
16124,poote exactly,Non_hope_speech,2.0
7913,lol wait,Non_hope_speech,2.0
1528,that kid,Non_hope_speech,2.0
11778,diaboli yeah,Non_hope_speech,2.0
7599,be crossfitting,Non_hope_speech,2.0
20357,noah lol,Non_hope_speech,2.0
20341,beautiful woman,Non_hope_speech,2.0
11408,kehofalltrade what,Non_hope_speech,2.0
15436,walker agree,Non_hope_speech,2.0
7564,name wow,Non_hope_speech,2.0
20329,iam homophobic,Non_hope_speech,2.0
1491,me too,Non_hope_speech,2.0
21850,ramey no,Non_hope_speech,2.0
13255,rebekah scientifically,Non_hope_speech,2.0
16348,thatas girl,Non_hope_speech,2.0
11253,marcus ok,Non_hope_speech,2.0
11876,thank you,Non_hope_speech,2.0
15341,walker oh,Non_hope_speech,2.0
15427,central no,Non_hope_speech,2.0
7848,jessup no,Non_hope_speech,2.0
620,sutherland ofcourse,Non_hope_speech,2.0
11738,your guessing,Non_hope_speech,2.0
15858,i agree,Non_hope_speech,2.0
11560,i hate,Non_hope_speech,2.0
15756,why not,Non_hope_speech,2.0
4908,nelson remember,Non_hope_speech,2.0
1621,very nasty,Non_hope_speech,2.0
15895,anthonya loll,Non_hope_speech,2.0
11532,the clown,Non_hope_speech,2.0
21916,thank larry,Non_hope_speech,2.0
4763,some ong,Non_hope_speech,2.0
15673,her face,Non_hope_speech,2.0
7675,nobody nope,Non_hope_speech,2.0
15935,xuereb their,Non_hope_speech,2.0
11696,what wonderful,Non_hope_speech,2.0
15660,as woman,Non_hope_speech,2.0
21996,history class,Non_hope_speech,2.0
4722,what virus,Non_hope_speech,2.0
16015,its scheme,Non_hope_speech,2.0
20401,therealdonaldtrump lockthemborders,Non_hope_speech,2.0
11452,total respect,Non_hope_speech,2.0
16046,serious energy,Non_hope_speech,2.0
16058,beaver exactly,Non_hope_speech,2.0
4423,brule really,Non_hope_speech,2.0
21843,sock hey,Non_hope_speech,2.0
16367,sorry man,Non_hope_speech,2.0
5192,read romans,Non_hope_speech,2.0
20102,for what,Non_hope_speech,2.0
7416,grant noo,Non_hope_speech,2.0
20099,me too,Non_hope_speech,2.0
4076,random well,Non_hope_speech,2.0
7408,my inspiration,Hope_speech,2.0
1395,iam the,Non_hope_speech,2.0
10838,for change,Non_hope_speech,2.0
5426,derp yes,Non_hope_speech,2.0
20790,whole lesbian,Non_hope_speech,2.0
8271,randall preach,Non_hope_speech,2.0
3964,marry me,Non_hope_speech,2.0
7369,for change,Non_hope_speech,2.0
17069,thank you,Non_hope_speech,2.0
20812,tavish ok,Non_hope_speech,2.0
20044,official yep,Non_hope_speech,2.0
3943,warrior them,Non_hope_speech,2.0
2158,nostar no,Non_hope_speech,2.0
20035,fam honestly,Non_hope_speech,2.0
12104,good advice,Non_hope_speech,2.0
10753,levi wtf,Non_hope_speech,2.0
21728,some literally,Non_hope_speech,2.0
21759,wolf what,Non_hope_speech,2.0
17112,iam christian,Non_hope_speech,2.0
10918,rebekah also,Non_hope_speech,2.0
20123,wheatley bingo,Non_hope_speech,2.0
21831,black people,Non_hope_speech,2.0
7518,some same,Non_hope_speech,2.0
20232,nerd incorrect,Non_hope_speech,2.0
8044,dutchsandwich congratulation,Non_hope_speech,2.0
4360,love this,Non_hope_speech,2.0
8080,evita both,Non_hope_speech,2.0
11113,thomas no,Non_hope_speech,2.0
5264,dheas democrats,Non_hope_speech,2.0
16574,central yes,Non_hope_speech,2.0
16578,cry too,Non_hope_speech,2.0
11080,ofabooste lie,Non_hope_speech,2.0
1809,grant noo,Non_hope_speech,2.0
4269,year later,Non_hope_speech,2.0
16621,same here,Non_hope_speech,2.0
20147,karn exactly,Non_hope_speech,2.0
16648,ja on,Non_hope_speech,2.0
11942,as christian,Non_hope_speech,2.0
11038,what panel,Non_hope_speech,2.0
5301,obrien fact,Non_hope_speech,2.0
15169,esteves corinthian,Non_hope_speech,2.0
20745,nit okay,Non_hope_speech,2.0
20117,jessup yes,Non_hope_speech,2.0
7366,your actually,Non_hope_speech,2.0
4858,allivesmatter onlywhitelivesmatter,Non_hope_speech,2.0
18997,start at,Non_hope_speech,2.0
9496,birt choice,Non_hope_speech,2.0
9911,kid actually,Non_hope_speech,2.0
2381,tronn corinthians,Non_hope_speech,2.0
6677,jeremy exactly,Non_hope_speech,2.0
19149,wilson agree,Non_hope_speech,2.0
21177,absolutely beautiful,Non_hope_speech,2.0
9277,leche huh,Non_hope_speech,2.0
2766,need here,Non_hope_speech,2.0
9421,harper yes,Non_hope_speech,2.0
18744,nguyen whyy,Non_hope_speech,2.0
9758,the clown,Non_hope_speech,2.0
19326,salehi exactly,Non_hope_speech,2.0
9601,turner exactly,Non_hope_speech,2.0
19390,prove it,Non_hope_speech,2.0
2622,patriot liberia,Non_hope_speech,2.0
9926,different world,Non_hope_speech,2.0
3065,iphone exactly,Non_hope_speech,2.0
22586,hillary clinton,Non_hope_speech,2.0
18350,i cackle,Non_hope_speech,2.0
8921,jonathan labrae,Non_hope_speech,2.0
962,tyranus lol,Non_hope_speech,2.0
9723,vision everything,Non_hope_speech,2.0
13061,um what,Non_hope_speech,2.0
13901,hall what,Non_hope_speech,2.0
9954,kinney lol,Non_hope_speech,2.0
2318,fox jules,Non_hope_speech,2.0
19324,stone exactly,Non_hope_speech,2.0
19144,itas girl,Non_hope_speech,2.0
21431,crosland dpsdpsdps,Non_hope_speech,2.0
6481,pearn why,Non_hope_speech,2.0
6735,worry me,Non_hope_speech,2.0
9578,only race,Non_hope_speech,2.0
6303,quin really,Non_hope_speech,2.0
12905,theherpes lol,Non_hope_speech,2.0
19492,kityaba bullshit,Non_hope_speech,2.0
2951,steven how,Non_hope_speech,2.0
21463,davidson dpsdpsdpsdps,Non_hope_speech,2.0
6250,penguinorpanda he,Non_hope_speech,2.0
22638,of course,Non_hope_speech,2.0
18902,leafe yes,Non_hope_speech,2.0
19382,queencherry exactly,Non_hope_speech,2.0
19115,ok boomer,Non_hope_speech,2.0
21417,be not,Non_hope_speech,2.0
2575,shea inspire,Non_hope_speech,2.0
12881,evita nope,Non_hope_speech,2.0
9253,i agree,Non_hope_speech,2.0
21450,ace high,Non_hope_speech,2.0
8962,and cop,Non_hope_speech,2.0
9591,morgan agree,Non_hope_speech,2.0
22531,love this,Non_hope_speech,2.0
9076,thank you,Non_hope_speech,2.0
22634,light exactly,Non_hope_speech,2.0
2974,atlas either,Non_hope_speech,2.0
21182,ko right,Non_hope_speech,2.0
21312,blm comedy,Non_hope_speech,2.0
22584,i agree,Non_hope_speech,2.0
18575,invent it,Non_hope_speech,2.0
9227,it have,Non_hope_speech,2.0
18308,thompson amen,Non_hope_speech,2.0
13920,that lie,Non_hope_speech,2.0
13581,khornthank you,Non_hope_speech,2.0
6393,relatively yes,Non_hope_speech,2.0
12755,uh why,Non_hope_speech,2.0
19381,bray no,Non_hope_speech,2.0
12982,justice prince,Non_hope_speech,2.0
197,arreola exactly,Non_hope_speech,2.0
9105,dumbass ego,Non_hope_speech,2.0
21131,josh no,Non_hope_speech,2.0
9040,jane oh,Non_hope_speech,2.0
18157,it be,Non_hope_speech,2.0
14024,steele whatabout,Non_hope_speech,2.0
9144,as christian,Non_hope_speech,2.0
13485,white anybody,Non_hope_speech,2.0
1085,haskin oh,Non_hope_speech,2.0
19051,such fake,Non_hope_speech,2.0
6694,blm communist,Non_hope_speech,2.0
9771,levry bankers,Non_hope_speech,2.0
9362,among the,Non_hope_speech,2.0
2433,actually crazy,Non_hope_speech,2.0
13517,david heavy,Non_hope_speech,2.0
10076,be alive,Non_hope_speech,2.0
6445,publish in,Non_hope_speech,2.0
848,know right,Non_hope_speech,2.0
21107,be alive,Non_hope_speech,2.0
3229,levi wtf,Non_hope_speech,2.0
2167,wilson she,Non_hope_speech,2.0
19719,color ice,Non_hope_speech,2.0
6059,what wacko,Non_hope_speech,2.0
13744,jessup no,Non_hope_speech,2.0
6545,stone exactly,Non_hope_speech,2.0
18631,long naah,Non_hope_speech,2.0
13952,tron well,Non_hope_speech,2.0
6740,rose thank,Non_hope_speech,2.0
3107,what joke,Non_hope_speech,2.0
9044,i know,Non_hope_speech,2.0
18973,rainville exactly,Non_hope_speech,2.0
2205,kid also,Non_hope_speech,2.0
9307,such fake,Non_hope_speech,2.0
9310,black lol,Non_hope_speech,2.0
9390,not helpful,Non_hope_speech,2.0
18275,cole wth,Non_hope_speech,2.0
8865,sword lol,Non_hope_speech,2.0
10002,second ago,Non_hope_speech,2.0
9324,think what,Non_hope_speech,2.0
8863,year before,Non_hope_speech,2.0
2508,me neither,Non_hope_speech,2.0
6112,dahl right,Non_hope_speech,2.0
6106,ntohvelit yes,Non_hope_speech,2.0
21142,haskin lie,Non_hope_speech,2.0
13568,reid wow,Non_hope_speech,2.0
9571,bus yea,Non_hope_speech,2.0
22623,trance nwait,Non_hope_speech,2.0
6385,start at,Non_hope_speech,2.0
6543,haha only,Non_hope_speech,2.0
9215,me too,Non_hope_speech,2.0
18946,txt should,Non_hope_speech,2.0
6932,your bich,Non_hope_speech,2.0
13012,i agree,Non_hope_speech,2.0
6247,shea inspire,Non_hope_speech,2.0
15340,laurencya i mean,Non_hope_speech,3.0
5187,death to death,Non_hope_speech,3.0
6035,anne be trans,Non_hope_speech,3.0
1469,walker mistranslate btw,Non_hope_speech,3.0
6401,screw our past,Non_hope_speech,3.0
5297,edward colston rip,Non_hope_speech,3.0
20731,literally nothingas change,Non_hope_speech,3.0
13495,kid meet kidnapperndirector,Non_hope_speech,3.0
5281,john thorpe preach,Non_hope_speech,3.0
6424,please her email,Non_hope_speech,3.0
1443,as an american,Non_hope_speech,3.0
15206,anyone who chant,Non_hope_speech,3.0
15212,he be christian,Non_hope_speech,3.0
6430,rana khoury elaborate,Non_hope_speech,3.0
6437,that be girl,Non_hope_speech,3.0
20718,whistlz good idea,Non_hope_speech,3.0
5273,such beautiful video,Non_hope_speech,3.0
13463,tapeworm live matter,Non_hope_speech,3.0
1448,choke the police,Non_hope_speech,3.0
15218,its her money,Non_hope_speech,3.0
15241,she probably be,Non_hope_speech,3.0
5245,she look incredible,Non_hope_speech,3.0
15244,yes itas racist,Non_hope_speech,3.0
5241,adore this woman,Non_hope_speech,3.0
15284,god be madonna,Non_hope_speech,3.0
21289,fran yes exactly,Non_hope_speech,3.0
15320,fixate how lol,Non_hope_speech,3.0
1470,this be awesome,Non_hope_speech,3.0
13454,grow some ball,Non_hope_speech,3.0
15509,just tea no,Non_hope_speech,3.0
21302,noone say that,Non_hope_speech,3.0
13331,galloway think so,Non_hope_speech,3.0
6527,yes plastic surgery,Non_hope_speech,3.0
20537,that pure mean,Non_hope_speech,3.0
15661,little be sick,Non_hope_speech,3.0
6524,it be trend,Non_hope_speech,3.0
4959,to many filler,Non_hope_speech,3.0
15679,ur mother either,Non_hope_speech,3.0
13364,lot of aiasa,Non_hope_speech,3.0
15659,this be steal,Non_hope_speech,3.0
13385,my thought exactly,Non_hope_speech,3.0
15650,she be amazing,Non_hope_speech,3.0
15636,there be song,Non_hope_speech,3.0
1556,its highly likely,Non_hope_speech,3.0
15625,inspire and encouraging,Hope_speech,3.0
6505,i know right,Non_hope_speech,3.0
21326,kaio eller nthis,Non_hope_speech,3.0
4941,this be great,Non_hope_speech,3.0
15692,lopez we have,Non_hope_speech,3.0
4872,she look amazing,Non_hope_speech,3.0
13259,theodore haskins nbeside,Non_hope_speech,3.0
15770,sheriff david clark,Non_hope_speech,3.0
21382,be honest af,Non_hope_speech,3.0
13282,shea in denial,Non_hope_speech,3.0
15735,yellow live matter,Non_hope_speech,3.0
4938,white life matter,Non_hope_speech,3.0
15733,love that sheriff,Non_hope_speech,3.0
20498,religious or not,Non_hope_speech,3.0
20502,amen to that,Non_hope_speech,3.0
13316,schuile oh my,Non_hope_speech,3.0
4918,you be right,Non_hope_speech,3.0
1576,boredom lead masses,Non_hope_speech,3.0
20521,stage and facilitate,Non_hope_speech,3.0
13311,winter soldier thank,Non_hope_speech,3.0
15619,copy comment bruh,Non_hope_speech,3.0
4981,to be honest,Non_hope_speech,3.0
15613,rip leelah alcorn,Non_hope_speech,3.0
5093,nice mean white,Non_hope_speech,3.0
13416,walker it be,Non_hope_speech,3.0
13423,jessica doty whitaker,Non_hope_speech,3.0
15432,xx unintentionally nmaybe,Non_hope_speech,3.0
13429,love that sheriff,Non_hope_speech,3.0
15406,zip doodles which,Non_hope_speech,3.0
15461,thank to her,Non_hope_speech,3.0
5139,blm feed hate,Non_hope_speech,3.0
5152,brown what state,Non_hope_speech,3.0
15375,pantsa nnaccording to,Non_hope_speech,3.0
13444,every life matter,Hope_speech,3.0
5170,alex turner how,Non_hope_speech,3.0
20657,psychic editor personally,Non_hope_speech,3.0
15350,justice for hern,Non_hope_speech,3.0
15384,nonamer not me,Non_hope_speech,3.0
15462,i know right,Non_hope_speech,3.0
5077,black life mater,Non_hope_speech,3.0
15470,this be nasty,Non_hope_speech,3.0
6488,no itas abnormal,Non_hope_speech,3.0
20571,up much respect,Non_hope_speech,3.0
6483,assumption be inevitable,Non_hope_speech,3.0
15570,this be america,Non_hope_speech,3.0
15568,bark bark incorrect,Non_hope_speech,3.0
20586,what do white,Non_hope_speech,3.0
5023,this be beautiful,Non_hope_speech,3.0
13412,few week ago,Non_hope_speech,3.0
15554,plot twist lol,Non_hope_speech,3.0
15551,dear police officer,Non_hope_speech,3.0
21310,thecounterpointer nail it,Non_hope_speech,3.0
15530,because black racist,Non_hope_speech,3.0
15528,she be freak,Non_hope_speech,3.0
1521,she be charlatan,Non_hope_speech,3.0
5052,people be idiot,Non_hope_speech,3.0
20665,shut up moron,Non_hope_speech,3.0
15159,african american question,Non_hope_speech,3.0
14971,iam so happy,Non_hope_speech,3.0
15141,unborn life matter,Non_hope_speech,3.0
5741,that be beautiful,Non_hope_speech,3.0
1270,wright he troll,Non_hope_speech,3.0
13867,the buster yeah,Non_hope_speech,3.0
5748,all live matter,Hope_speech,3.0
15799,hi marcus mitch,Non_hope_speech,3.0
14444,that be girl,Non_hope_speech,3.0
6173,it be shoein,Non_hope_speech,3.0
5767,arnold dalby lool,Non_hope_speech,3.0
5784,xlr so what,Non_hope_speech,3.0
14409,clarke be legend,Non_hope_speech,3.0
5815,such powerful message,Non_hope_speech,3.0
14355,worm food matter,Non_hope_speech,3.0
6160,new york albany,Non_hope_speech,3.0
13890,come on hannity,Non_hope_speech,3.0
13868,thatas like ppl,Non_hope_speech,3.0
5734,gay need help,Hope_speech,3.0
5732,holy ratio batman,Non_hope_speech,3.0
14513,i totally agree,Non_hope_speech,3.0
20863,that be girl,Non_hope_speech,3.0
14646,buy the merch,Non_hope_speech,3.0
