,text,intent
0,these tiktok radiate gay chaotic energy and love it,Non_hope_speech
1,again He get kill for use false money,Non_hope_speech
2,It be not that all life do not matter,Non_hope_speech
3,be it really that difficult to understand black live matter and all life matter be not mutually exclusive They be both true as general statement so be white life matter and asian life matter black live matter in this context be simply the name of movement against the strangely high rate of police violence on black people and the statement be refer to those who behave like and treat black people as if they do not matter for example,Non_hope_speech
4,whenever we say black be not that racist why do not just say Americans,Non_hope_speech
5,ros the boss donat know that shea actually lgbtq tho so,Non_hope_speech
6,that be funny at the end when Larry say what be we argue about then haha but that say,Non_hope_speech
7,She save live with her music,Non_hope_speech
8,there be lot of Samoans in my Army unit,Non_hope_speech
9,Network Engineer here and currently work as an instructor teach man and woman look to be in IT next I want to teach at University,Hope_speech
10,there be justice for the native the government literally pay us,Non_hope_speech
11,shea in the closet,Non_hope_speech
12,injustice be the way the world work millionaire pay someone few dollar to wash his car be injustice,Non_hope_speech
13,Gray the Prime Minister of Holland,Non_hope_speech
14,Madonna would not be here if her mother have her attitude,Non_hope_speech
15,just tea all life be equal be the same thing as all life matter,Non_hope_speech
16,the tech industry be tough for everyone Most people be push hard and treat like garbage,Non_hope_speech
17,why do BLM only come around every year,Non_hope_speech
18,funny thing be,Non_hope_speech
19,I be still hide my gender to my parent and they do not know I be date someone My friend know already about my gender and they be very supportive of it and I be very thankful to find true friend like them,Hope_speech
20,all life matter without that we never have peace so to me forever all life matter,Hope_speech
21,Clark thank you I salute you,Non_hope_speech
22,Brown It make it seem like my opinion do not matter when someone get attack for hold all Lives matter sign,Non_hope_speech
23,Yall talk lesbian but I think it more likely that be she will come out as trans,Non_hope_speech
24,France France I think youare the be dumb Itas actually very simple do you not know all life include black life if you have basic understanding of the english language you should understand that,Non_hope_speech
25,love how people like you read comment that go against your agenda and spit instantly evidence when all you need to do be type we be train marxist blm and boom there you go,Non_hope_speech
26,Randomgirlwhosings why do she feel the need to have to agree or not agree with someonea sexuality why do any Christian itas really weird there be nothing for you to aagreea with,Hope_speech
27,the people who would normally be say whu be all the disney princess set unrealistic standard for young girl be now say that have fat guy who happen to have darkish skin be rac the rock be the voice actor for the character and he seem to be fine with it next let say big hero be rac because it be slightly japanese and hero be fat sometimes its not like mr incredible who be white and sorta chubby get this kinda shit,Non_hope_speech
28,excatly do you know that in South Korea in almost every school there they teach Americans as racist,Non_hope_speech
29,the big one stop rule when the small one stop crawlingnn the year of the modern revolution,Non_hope_speech
30,think at that time,Non_hope_speech
31,about perform at eurovision in Tel Aviv,Non_hope_speech
32,be it wrong I laugh when he say beat with the Bible,Non_hope_speech
33,all Iam gunna say be I be presbyterian and adidnat agree with homosexualitya before I come out,Non_hope_speech
34,thank you Madonna for EVERYTHING Youave help me grow up as kid in West Philadelphia You inspire me greatly much respect and love Queen of pop MadameX,Non_hope_speech
